College,Distilbert Base Score,Twitter Roberta Negative,Twitter Roberta Neutral,Twitter Roberta Positive,Distilbert Emotion Sadness,Distilbert Emotion Joy,Distilbert Emotion Love,Distilbert Emotion Anger,Distilbert Emotion Fear,Distilbert Emotion Surprise
ASU,-0.387160055,0.190035546,0.394380112,0.415584343,0.85989435,0.10374081,0.024096946,0.008992762,0.002019633,0.028876451
UF,-0.217256331,0.149933801,0.401899036,0.448167174,0.885859123,0.078952937,0.023059869,0.007872872,0.003159671,0.021910336
UCLA,-0.777167806,0.507666243,0.281327624,0.211006136,0.870957997,0.090362025,0.027729618,0.007546711,0.002406136,0.019950238
USC,-0.598748222,0.388906235,0.397749657,0.213344108,0.832964746,0.115364044,0.03723118,0.010498535,0.002649577,0.090434141
FSU,-0.041351802,0.173975709,0.418779859,0.407244434,0.808581068,0.13164296,0.041110775,0.015284809,0.002132289,0.04368336
SDSU,-0.625501501,0.426062156,0.345483495,0.22845435,0.850461656,0.107540355,0.027533226,0.010878895,0.002281778,0.228216119
UT Austin,-0.753066661,0.139720332,0.578070822,0.282208846,0.793907598,0.13336409,0.051874033,0.01698006,0.00232024,0.040403524
Auburn,-0.583223611,0.46157132,0.354376138,0.184052544,0.796416244,0.143398736,0.04332977,0.013588089,0.002073339,0.016713068
GW,-0.745209315,0.446090598,0.328415071,0.225494336,0.893136095,0.078876966,0.018151815,0.007007302,0.001706942,0.071735949
Louisville,-0.424791715,0.252552174,0.431356424,0.316091402,0.773328797,0.156806249,0.052193752,0.013728144,0.002502047,0.076374328
Vanderbilt,-0.343344881,0.223859311,0.388088999,0.388051696,0.856929502,0.100416753,0.032075063,0.007231969,0.00230865,0.043598459
Duke,-0.010196099,0.053980663,0.411911138,0.534108205,0.823191031,0.11673174,0.045858635,0.009949313,0.002554206,0.022295793
OSU,-0.43693723,0.233564027,0.387908283,0.378527691,0.86296575,0.095140584,0.027505224,0.011531325,0.001912641,0.022667486
U of M,-0.594952201,0.428780802,0.363520348,0.207698852,0.85175852,0.102302629,0.033186986,0.009322886,0.002264872,0.145512929
Michigan State,-0.204088213,0.173229124,0.392405366,0.434365518,0.877744392,0.081765418,0.025072508,0.01246009,0.001870239,0.04023241
UMich,-0.563961259,0.306216956,0.352501104,0.341281937,0.822261538,0.114255133,0.04086161,0.018257204,0.002887724,0.059072112
UW Madison,-0.41191423,0.190104663,0.405608052,0.404287287,0.855360088,0.097639886,0.03589006,0.007932809,0.002087363,0.061028853
Dayton,-0.830518504,0.465247725,0.361258475,0.173493799,0.816462449,0.122010782,0.040669057,0.017295925,0.002404312,0.072921709
Penn State,-0.181485247,0.133991058,0.451115034,0.414893911,0.819154876,0.126083831,0.037661395,0.013387089,0.002326334,0.051299875
Temple,-0.440841165,0.338997347,0.440914761,0.220087895,0.788703151,0.149170842,0.043823544,0.014510036,0.002551547,0.042190179
UNLV,-0.581605529,0.378900296,0.378458518,0.242641188,0.831152624,0.111598349,0.039948261,0.013329888,0.002626518,0.246017721
UPenn,-0.354847119,0.342976493,0.397769427,0.259254086,0.868215745,0.092364349,0.026046193,0.010236868,0.002027098,0.041060431
Northwestern,-0.45252891,0.172371441,0.437382772,0.390245794,0.80759895,0.14101589,0.036189229,0.011009702,0.002638426,0.04488598
Tufts,-0.04468355,0.131612038,0.383030165,0.485357792,0.836857209,0.110221878,0.038490889,0.010460894,0.002504796,0.054180027
AVERAGE,-0.441890882,0.279597753,0.395154612,0.325247639,0.836827646,0.112531968,0.035399568,0.011637257,0.002342349,0.066052562
